"Table 220-19013 : Average monthly salaries, average number of normal working hours per day and average number of standard working days per month of supervisory, technical, clerical, service and miscellaneous non-production workers by industry by occupation by sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average monthly salaries (1),Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofnormal working hours per day,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month,Average number ofstandard working days per month
,,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,HK$,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days,Days
Year,,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024
Month,,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes
Industry,Broad occupational group/example of occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese restaurants,"Supervisory, technical, clerical, service and miscellaneous non-production workers",18031,12346,14818,18338,12420,15062,18817,12762,15435,19088,12790,15595,19258,13265,16036,19583,13354,16351,19853,13654,16621,19815,13612,16532,20254,14094,17114,20349,13999,17116,20361,14208,17222,20319,13960,16961,21269,14297,17562,20744,14178,17420,20947,14418,17535,21016,14294,17510,20895,14591,17454,20687,14651,17381,20874,14827,17556,20394,14781,17194,21338,15065,17642,21094,15315,17600,21438,15387,18083,21394,15247,17955,22145,15492,18373,22186,15534,18557,21837,15951,18765,21607,16311,18830,22055,16909,19430,22083,17322,19650,22402,17437,19895,22190,17633,19921,22790,17467,20213,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Chinese restaurants,     Service workers,17963,12282,15223,18294,12274,15441,18773,12743,15865,18900,12755,15982,19146,13082,16326,19464,13113,16638,19930,13469,17071,19741,13531,17050,20145,13999,17451,20053,14036,17496,20132,14173,17627,20160,13924,17373,20987,14097,17884,20687,13727,17831,20789,14213,17947,20832,14087,17930,20765,14571,17884,20622,14761,17903,20790,14756,18006,20218,14678,17563,20557,15013,17719,20231,15335,17590,20498,15378,18073,20589,15049,17953,21157,15170,18227,21530,15367,18686,21326,15856,18939,21059,16356,19025,21309,16909,19418,21530,17509,19816,21635,17647,19927,21360,17810,19877,21934,17211,20014,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Chinese restaurants,          Bus Boy,[*1],10550,10569,[*1],10702,10695,[*1],10645,10672,[*1],10817,10836,[*1],11123,11128,[*1],11203,11220,[*1],11209,11236,[*1],11304,11321,[*1],11555,11608,[*1],11672,11739,[*1],11722,11785,[*1],11862,11895,[*1],12208,12211,[*1],12254,12305,[*1],12219,12299,[*1],12254,12276,[*1],12384,12405,[*1],12462,12494,[*1],12495,12499,[*1],12527,12495,[*1],12657,12654,[*1],12787,12769,[*1],12839,12837,[*1],12869,12731,[*1],13018,12918,[*1],13161,13050,[*1],13433,13132,[*1],13308,13131,[*1],12853,13354,[*1],13451,13520,[*1],13551,13628,[*1],13668,13643,[*1],13868,13875,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
