,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec,Mar,Mar,Mar,Jun,Jun,Jun,Sep,Sep,Sep,Dec,Dec,Dec
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
"Supervisory, technical, clerical, service and miscellaneous non-production workers",15838,14332,15026,16482,14373,15338,16362,14481,15357,16213,14448,15262,16553,14724,15600,16733,14984,15790,16707,14811,15714,16667,14954,15748,17478,15338,16351,17799,15519,16616,17828,15540,16631,17964,15656,16755,18226,15931,17026,18269,16006,17089,17914,15795,16777,18023,15612,16733,17936,15777,16743,18139,15846,16912,17951,15567,16631,17910,15485,16612,18165,15606,16787,18233,15848,16964,18207,15919,17013,18178,15867,16948,18383,16042,17148,18392,16214,17258,18672,16312,17433,18528,16563,17515,18987,16726,17810,19333,16944,18046,19227,17208,18164
     Supervisory and technical workers,22662,20221,21433,22793,20676,21788,22912,20733,21888,22731,20725,21748,23151,20653,21982,22872,21048,21973,23259,20862,22112,22788,21473,22150,23522,21593,22633,24186,21944,23166,24051,21766,23009,24505,21920,23297,24531,22506,23628,24685,22123,23497,24056,22031,23097,24130,22372,23327,24806,22365,23585,25095,22265,23752,24851,22443,23687,24521,22290,23506,25019,22427,23870,24777,22281,23677,25091,22601,24008,24938,22255,23710,25287,22529,24030,25287,22708,24112,25075,22985,24172,25116,23461,24394,25410,23817,24732,25907,23635,24880,25729,24080,24974
          Office/administrative supervisor,22663,22663,22663,23534,23534,23534,23616,23616,23616,23263,23263,23263,23494,23494,23494,23673,23673,23673,24105,24105,24105,23381,23381,23381,23385,23385,23385,23559,23559,23559,23678,23678,23678,23651,23651,23651,23917,23917,23917,23863,23863,23863,23249,23249,23249,23143,23143,23143,23705,23705,23705,23720,23720,23720,23962,23962,23962,24453,24453,24453,24373,24373,24373,24373,24373,24274,24373,24373,24571,25127,25127,25127,25127,25127,25024,25127,25127,25311,25127,25127,25092,25127,25127,25012,24412,24412,24412,24412,24412,24913,25462,25462,25462
          Accounting supervisor,25907,24517,24773,25002,24804,24836,25249,24999,25046,25064,25352,25292,25397,25124,25176,25608,25471,25506,25224,25039,25079,25273,24999,25057,25435,25167,25217,25581,25125,25218,25053,25220,25183,25128,25214,25191,25404,25555,25517,25380,25967,25778,25357,25969,25808,25499,25952,25852,25941,26589,26434,26160,26845,26687,25829,26341,26212,26366,26160,26220,26303,25804,25914,25883,24877,25082,25608,24841,24987,25432,25045,25131,25575,25190,25287,25835,25245,25404,25855,25724,25765,26068,25746,25852,26087,26029,26047,26686,26172,26304,27010,26252,26459
          Estate officer/building services officer,18109,17060,17661,18346,17499,18031,18431,17341,17941,18722,17756,18309,18990,17958,18530,19195,18100,18728,19474,18444,18975,19829,18899,19424,20229,19005,19720,20361,19109,19804,20432,19356,19994,20289,19310,19889,20468,19580,20154,20609,19627,20236,20627,19702,20236,20820,19835,20390,20753,20019,20398,20901,20161,20534,20986,20211,20529,21131,20404,20757,21366,20735,21034,21382,20828,21085,21404,20892,21144,21563,21065,21295,21633,21133,21375,21459,21349,21418,21881,21165,21559,22294,21421,21913,22865,21901,22407,22396,21307,21822,21825,21098,21465
     Clerical and secretarial workers,14623,14457,14489,15019,14516,14615,14749,14539,14583,15053,14760,14824,15150,15113,15121,15201,15131,15146,15271,15123,15154,15682,15327,15405,15966,15736,15790,16153,16115,16124,15950,16095,16061,15938,16127,16086,15784,16066,16004,16178,16398,16351,16168,16013,16041,16188,15821,15890,16545,15902,16025,17216,16022,16264,16578,15714,15912,16219,15782,15898,16793,15936,16142,16983,16593,16687,17029,16732,16797,16989,16866,16895,17493,17009,17118,17608,17205,17291,17129,16911,16955,17111,16934,16969,17719,17319,17401,17736,17782,17771,18176,17825,17898
          Stock/purchasing clerk,12521,12924,12741,12926,13281,13114,13069,13305,13175,13307,13643,13431,13691,14178,13913,13916,14253,14054,13844,14149,13960,14155,14577,14328,14409,14803,14560,14421,15119,14687,14566,15101,14792,14657,15336,14998,15198,15203,15201,15473,15522,15500,15466,14748,15082,15678,15166,15396,16059,14546,15192,16129,15048,15427,16605,15065,15658,15843,14997,15388,16362,15599,15995,16932,15592,16165,16777,15790,16209,16489,15770,16059,16568,15725,16053,16894,16015,16350,16680,16360,16485,17143,16442,16720,17027,16786,16899,17063,17052,17057,17242,16882,17064
          Bookkeeper/accounting clerk,15482,15937,15886,16103,16060,16066,16072,15885,15910,16274,16193,16206,15921,16057,16039,16333,16184,16204,16912,16408,16473,17131,16561,16642,17284,16786,16857,17341,16911,16971,17424,16768,16850,17345,16632,16710,17443,17302,17322,17629,17269,17300,18441,17535,17615,18757,17517,17651,19189,18124,18247,19163,17751,17938,19221,17576,17738,18768,17109,17237,18874,17022,17215,18250,17082,17201,18647,17160,17252,18553,17078,17196,18012,17197,17273,18228,17417,17511,18334,17294,17396,18549,17695,17755,18342,18048,18070,18789,18221,18281,18800,18396,18444
          General office clerk,14602,13020,13214,14872,12865,13115,14585,12907,13200,14936,13349,13601,14591,13933,14051,14653,14023,14128,15079,13906,14126,14984,14108,14269,15050,14444,14560,15101,14442,14580,15148,14698,14775,15232,14823,14884,15007,15035,15029,15227,15289,15277,15385,15341,15347,15774,15158,15232,15916,15095,15232,16516,15019,15295,16166,14982,15179,15716,15105,15254,15755,15402,15467,16019,15238,15367,16119,15471,15573,16060,15489,15583,16674,15577,15731,17174,15778,15984,17315,15687,15975,16819,15869,16032,16219,16111,16123,16816,16637,16667,16747,16766,16762
          Cashier/chit clerk,11604,11562,11604,11632,11591,11632,11632,11603,11655,11860,11723,11749,13017,11971,12017,13017,11980,12006,13017,11947,12032,12191,12120,12141,13406,12336,12406,13472,12328,12472,13372,12372,12485,13372,12607,12632,12909,13031,12909,12192,13192,12925,13717,12817,12833,12880,12880,12891,13599,13099,13107,13497,13097,13100,[*1],13013,13028,13402,13050,13102,14345,13333,13345,13465,13365,13369,13408,13411,13408,13424,13426,13424,13643,13643,13641,13608,13668,13663,13734,13734,13723,13733,13733,13733,13968,13961,13968,14006,14007,14006,14245,14045,14064
          Receptionist/telephone operator,14893,13893,13959,13809,13809,13792,14893,14051,14111,14893,13994,14061,14893,14347,14380,14893,14471,14600,15841,14728,14841,15841,14932,15055,16177,15099,15177,15550,15158,15250,16524,15465,15524,15560,15560,15585,17116,15897,16116,15667,15675,15667,15449,15448,15449,15526,15526,15510,15430,15130,15151,16673,15673,15700,[*1],15430,15450,15116,15961,15716,16001,16001,16001,16209,16269,16207,16105,16144,16105,16111,16139,16111,16157,16540,16457,16409,16441,16439,16777,16015,16077,16364,16317,16364,16587,16453,16587,16539,16742,16439,16801,16891,16821
          Documentation/shipping clerk,16401,15444,15645,16360,15443,15615,15967,15749,15789,16019,15957,15972,15882,16457,16312,16075,16663,16513,16467,16605,16572,16706,16365,16445,16993,16488,16615,17118,16546,16690,17322,16527,16758,16720,16497,16557,16536,16532,16533,16412,17048,16940,15769,16661,16510,16214,16755,16672,16899,17405,17324,17326,17782,17676,16834,17483,17387,17648,17884,17824,17920,18132,18081,17769,18059,17955,17614,17547,17566,17410,17429,17423,17295,17650,17581,17655,17391,17447,18155,17649,17760,18572,17468,17709,18837,18068,18213,19127,17905,18141,19420,17907,18198
          Receptionist (in restaurants),14294,13292,13294,14294,13987,13987,14294,13942,13943,14294,14129,14129,14294,14357,14304,15524,15102,15101,15841,15109,15109,15841,15548,15532,16524,15589,15589,16080,16080,16023,16095,16095,16094,15066,16066,16051,16575,16665,16658,16152,16200,16152,16510,16229,16150,16123,16123,16117,16100,16000,16027,17620,16253,16820,[*1],16686,16686,16386,16386,16386,15499,16288,16199,16075,17068,16875,17254,17251,17254,17497,17546,17497,17547,17639,17547,17977,17165,17177,16936,16936,16936,17490,17490,17490,18073,18090,18073,18807,18502,18507,18469,18069,18099
     Service workers,14255,11812,13167,14656,11899,13461,14399,11873,13212,14153,11789,13110,14911,12227,13781,15134,12416,13952,15045,12487,13938,15379,12598,14197,16020,13314,14865,16049,13276,14889,15993,13645,15048,16030,13656,15135,16415,14210,15529,16283,13780,15274,15706,13483,14770,15686,13132,14612,15800,13716,14929,16080,13832,15125,15673,13251,14568,15550,13210,14440,15809,13848,14886,16090,14072,15177,16037,14221,15217,15820,13484,14755,16114,13870,15122,16231,14081,15275,16370,14286,15431,16236,14056,15286,16558,14385,15582,16824,14855,15902,16941,14881,16028
          Cook,18121,14612,17352,18386,14714,17565,18427,14755,17385,18740,15168,17929,18867,15502,18244,19035,16019,18414,19314,15724,18571,19521,15909,18715,19835,16438,19121,20035,16673,19390,20197,16792,19380,20016,16764,19360,20271,17453,19738,20521,17326,19901,20318,17328,19577,20135,16958,19349,20392,17447,19608,20786,17023,19629,20630,17053,19634,20267,16709,19240,20344,17516,19490,20545,17464,19738,21065,17878,20156,20970,17797,20165,20963,18325,20214,21260,18773,20546,20872,18337,20046,20986,18414,20308,21252,18273,20215,21208,18887,20358,21595,19294,20891
          Waiter/waitress,13030,12369,12526,13179,12263,12480,13291,12319,12530,13179,12533,12688,13503,12868,13024,14398,12851,13225,14167,12939,13254,14250,13055,13434,14369,13595,13814,14649,13773,14043,14679,13839,14063,14793,14073,14286,15046,14507,14672,15219,14656,14851,15142,14683,14818,15084,14761,14827,15079,14889,14930,15366,15014,15082,15294,15001,15059,15160,15015,15046,15428,15124,15186,15668,15265,15364,15670,15277,15396,15548,15231,15286,15637,15417,15482,15740,15653,15679,16057,15594,15719,15834,15672,15720,15990,15919,15940,15934,16250,16149,15814,16441,16230
     Miscellaneous non-production workers,11323,9876,10658,11614,9850,10713,11580,9996,10838,11607,10008,10782,11790,10148,11021,12113,10266,11195,11981,10216,11132,12061,10407,11206,12384,10770,11531,12379,10755,11518,12453,10892,11585,12654,10991,11722,12940,11285,12029,13041,11333,12126,12982,11313,12054,13107,11181,12028,13168,11333,12143,13038,11323,12155,13170,11538,12250,13136,11502,12244,13114,11775,12367,13174,11844,12442,13589,11935,12724,13608,11977,12731,13622,12126,12808,13826,12065,12917,14037,12252,13093,13851,12381,13110,14198,12471,13292,14355,12491,13324,14478,12527,13457
